workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
A2A1Y2EKAI03T5,english,any advances,tan,lightorange,midnight,Player B will be disappointed,half-half-half,half-half-half,A-B-C,yes,A-B-C,8,1,10419,NA
A2A1Y2EKAI03T5,english,any advances,lavender,brown,royalblue,Exactly one player hit none of his shots,none-none-half,half-none-none,A,yes,A,11,4,4758,NA
A2A1Y2EKAI03T5,english,any advances,lavender,lightblue,yellow,Exactly one player hit all of his shots,none-half-half,half-half-none,A-B,yes,A-B,10,3,6447,NA
A2A1Y2EKAI03T5,english,any advances,brown,royalblue,lightblue,At least one player will advance,none-half-all,none-all-half,B-C,no,B-C,13,6,14494,NA
A2A1Y2EKAI03T5,english,any advances,lightorange,tan,seafoam,Most of the players will advance,none-all-all,all-all-none,A-B,yes,A-B,12,6,6260,NA
A2A1Y2EKAI03T5,english,any advances,brown,royalblue,lavender,Every player hit none of his shots,half-all-all,half-all-all,A-B-C,yes,A-B-C,15,1,7558,NA
A2A1Y2EKAI03T5,english,any advances,lavender,lightblue,grey,Player C will be disappointed,half-half-half,half-half-half,A-B-C,yes,A-B-C,14,2,8024,NA
A2A1Y2EKAI03T5,english,any advances,wheat,royalblue,pink,Player B made shots,half-half-half,half-half-half,A-B-C,yes,A-B-C,17,2,9999,NA
A2A1Y2EKAI03T5,english,any advances,seafoam,midnight,brown,One player will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,16,1,10421,NA
A2A1Y2EKAI03T5,english,any advances,lightorange,purple,midnight,Player C will advance,none-none-half,none-none-half,C,yes,C,19,5,6931,NA
A2A1Y2EKAI03T5,english,any advances,pink,purple,yellow,Player C will be pleased,all-all-all,all-all-all,A-B-C,yes,A-B-C,18,5,7016,NA
A2A1Y2EKAI03T5,english,any advances,midnight,pink,lightblue,Player A was the star player of the round,most-none-all,most-none-all,A-C,yes,A-C,-1,1,12577,yes
A2A1Y2EKAI03T5,english,any advances,wheat,royalblue,tan,Player C messed up,all-all-none,all-all-none,A-B,yes,A-B,-3,7,14560,yes
A2A1Y2EKAI03T5,english,any advances,yellow,royalblue,midnight,Player B will advance to the next round,all-few-none,all-few-none,A-B,no,A-B,-2,6,21111,yes
A21Z8Q88G7MVX8,English,any advances,seafoam,pink,grey,Player A made shots,half-all-all,all-all-half,A-B-C,yes,A-B-C,24,4,5839,NA
A21Z8Q88G7MVX8,English,any advances,brown,grey,yellow,No player hit none of his shots,none-half-all,half-all-none,A-B,yes,A-B,25,1,7189,NA
A21Z8Q88G7MVX8,English,any advances,pink,darkorange,midnight,None of the players will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,26,1,5022,NA
A21Z8Q88G7MVX8,English,any advances,pink,royalblue,lightblue,Exactly one player hit some of his shots,half-half-all,half-all-half,A-B-C,yes,A-B-C,27,1,10847,NA
A21Z8Q88G7MVX8,English,any advances,purple,tan,seafoam,Every player hit none of his shots,all-all-all,all-all-all,A-B-C,yes,A-B-C,20,1,5988,NA
A21Z8Q88G7MVX8,English,any advances,purple,grey,lightblue,Every player hit all of his shots,none-all-all,all-all-none,A-B,yes,A-B,21,1,5661,NA
A21Z8Q88G7MVX8,English,any advances,wheat,pink,lightorange,Player B will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,22,4,6686,NA
A21Z8Q88G7MVX8,English,any advances,darkorange,purple,yellow,At least one player will advance,half-half-all,half-half-all,A-B-C,yes,A-B-C,23,4,5565,NA
A21Z8Q88G7MVX8,English,any advances,purple,royalblue,darkorange,All of the players will advance,none-half-all,all-none-half,A-C,yes,A-C,28,1,4260,NA
A21Z8Q88G7MVX8,English,any advances,seafoam,pink,darkorange,Player B made shots,none-all-all,all-none-all,A-C,yes,A-C,1,1,7599,NA
A21Z8Q88G7MVX8,English,any advances,lightblue,wheat,seafoam,No player hit all of his shots,none-none-all,none-none-all,C,yes,C,0,1,12176,NA
A21Z8Q88G7MVX8,English,any advances,brown,lavender,lightblue,Exactly one player hit none of his shots,none-none-half,none-none-half,C,yes,C,3,1,5949,NA
A21Z8Q88G7MVX8,English,any advances,lavender,wheat,tan,Most of the players will advance,none-none-none,none-none-none,none,yes,none,2,1,9004,NA
A21Z8Q88G7MVX8,English,any advances,purple,brown,yellow,Exactly one player hit all of his shots,none-none-none,none-none-none,none,yes,none,5,1,4325,NA
A21Z8Q88G7MVX8,English,any advances,tan,pink,yellow,No player hit some of his shots,none-none-none,none-none-none,none,yes,none,4,7,5334,NA
A21Z8Q88G7MVX8,English,any advances,yellow,lavender,darkorange,Player A will be disappointed,half-half-half,half-half-half,A-B-C,yes,A-B-C,7,1,17077,NA
A21Z8Q88G7MVX8,English,any advances,purple,lightorange,grey,All the players will advance,none-none-half,none-none-half,C,yes,C,6,1,6964,NA
A21Z8Q88G7MVX8,English,any advances,tan,pink,lightorange,Player A will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,9,3,8524,NA
A21Z8Q88G7MVX8,English,any advances,royalblue,seafoam,yellow,Two players will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,8,1,8591,NA
A21Z8Q88G7MVX8,English,any advances,grey,darkorange,lavender,Player C will be disappointed,half-half-half,half-half-half,A-B-C,yes,A-B-C,11,1,7661,NA
A21Z8Q88G7MVX8,English,any advances,brown,lavender,royalblue,Player B will be pleased,half-all-all,half-all-all,A-B-C,yes,A-B-C,10,4,8643,NA
A21Z8Q88G7MVX8,English,any advances,pink,lightblue,yellow,Player C will be pleased,none-none-half,none-half-none,B,yes,B,13,1,4787,NA
A21Z8Q88G7MVX8,English,any advances,yellow,lightorange,seafoam,Every player hit some of his shots,half-half-all,all-half-half,A-B-C,yes,A-B-C,12,7,6571,NA
A21Z8Q88G7MVX8,English,any advances,tan,lightblue,purple,One player will advance,none-none-all,none-all-none,B,yes,B,15,7,5245,NA
A21Z8Q88G7MVX8,English,any advances,yellow,grey,wheat,Three players will advance,none-half-half,half-half-none,A-B,yes,A-B,14,1,5821,NA
A21Z8Q88G7MVX8,English,any advances,royalblue,grey,pink,Player B will be disappointed,half-half-all,half-half-all,A-B-C,yes,A-B-C,17,1,7301,NA
A21Z8Q88G7MVX8,English,any advances,lavender,yellow,wheat,Player C made shots,none-none-half,none-half-none,B,yes,B,16,1,5999,NA
A21Z8Q88G7MVX8,English,any advances,tan,yellow,lightblue,Player C will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,19,4,5670,NA
A21Z8Q88G7MVX8,English,any advances,lightblue,wheat,tan,Player A will be pleased,half-half-all,half-all-half,A-B-C,yes,A-B-C,18,4,5693,NA
A21Z8Q88G7MVX8,English,any advances,royalblue,lavender,yellow,Player A was the star player of the round,most-none-all,most-none-all,A-C,yes,A-C,-1,1,14015,yes
A21Z8Q88G7MVX8,English,any advances,lightorange,brown,royalblue,Player C messed up,all-all-none,all-all-none,A-B,yes,A-B,-3,7,19143,yes
A21Z8Q88G7MVX8,English,any advances,lightblue,seafoam,grey,Player B will advance to the next round,all-few-none,all-few-none,A-B,yes,A-B,-2,6,52370,no
ACVEFRSUAPSEQ,English,any advances,grey,tan,wheat,No player hit none of his shots,half-all-all,all-half-all,A-B-C,yes,A-B-C,24,4,12022,NA
ACVEFRSUAPSEQ,English,any advances,grey,seafoam,yellow,Exactly one player hit none of his shots,none-none-none,none-none-none,none,yes,none,25,1,4830,NA
ACVEFRSUAPSEQ,English,any advances,wheat,royalblue,darkorange,Player C will advance,none-none-half,none-none-half,C,yes,C,26,7,4071,NA
ACVEFRSUAPSEQ,English,any advances,purple,lightorange,midnight,No player hit some of his shots,none-all-all,all-none-all,A-C,yes,A-C,27,1,7807,NA
ACVEFRSUAPSEQ,English,any advances,royalblue,pink,grey,Exactly one player hit some of his shots,none-none-half,none-half-none,B,yes,B,20,5,7279,NA
ACVEFRSUAPSEQ,English,any advances,wheat,purple,royalblue,None of the players will advance,none-none-half,half-none-none,A,yes,A,21,1,4319,NA
ACVEFRSUAPSEQ,English,any advances,purple,lightorange,grey,Three players will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,22,7,5551,NA
ACVEFRSUAPSEQ,English,any advances,pink,darkorange,midnight,Two players will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,23,7,5021,NA
ACVEFRSUAPSEQ,English,any advances,purple,grey,royalblue,Every player hit some of his shots,none-half-half,half-half-none,A-B,yes,A-B,28,1,5884,NA
ACVEFRSUAPSEQ,English,any advances,yellow,grey,pink,Every player hit all of his shots,half-half-all,half-half-all,A-B-C,yes,A-B-C,1,1,8462,NA
ACVEFRSUAPSEQ,English,any advances,royalblue,brown,lightblue,At least one player will advance,half-all-all,half-all-all,A-B-C,yes,A-B-C,0,7,9814,NA
ACVEFRSUAPSEQ,English,any advances,wheat,pink,midnight,Player C will be disappointed,none-all-all,all-all-none,A-B,yes,A-B,3,7,6046,NA
ACVEFRSUAPSEQ,English,any advances,darkorange,lightblue,brown,Exactly one player hit all of his shots,none-all-all,none-all-all,B-C,yes,B-C,2,1,7262,NA
ACVEFRSUAPSEQ,English,any advances,grey,lightorange,midnight,Player B made shots,none-none-all,all-none-none,A,yes,A,5,4,6392,NA
ACVEFRSUAPSEQ,English,any advances,tan,lightorange,grey,Player A will be pleased,none-half-half,none-half-half,B-C,yes,B-C,4,1,6366,NA
ACVEFRSUAPSEQ,English,any advances,purple,midnight,lightblue,No player hit all of his shots,half-half-half,half-half-half,A-B-C,yes,A-B-C,7,7,6654,NA
ACVEFRSUAPSEQ,English,any advances,lavender,yellow,tan,Most of the players will advance,none-none-none,none-none-none,none,yes,none,6,1,4838,NA
ACVEFRSUAPSEQ,English,any advances,yellow,lightblue,grey,Player C will be pleased,none-half-half,half-half-none,A-B,yes,A-B,9,1,4743,NA
ACVEFRSUAPSEQ,English,any advances,royalblue,grey,midnight,Player A will be disappointed,half-half-all,all-half-half,A-B-C,yes,A-B-C,8,1,6310,NA
ACVEFRSUAPSEQ,English,any advances,yellow,darkorange,brown,One player will advance,none-none-half,none-none-half,C,yes,C,11,7,6374,NA
ACVEFRSUAPSEQ,English,any advances,brown,pink,lavender,Player B will be pleased,none-none-none,none-none-none,none,yes,none,10,1,3783,NA
ACVEFRSUAPSEQ,English,any advances,pink,yellow,lavender,Player B will advance,half-all-all,all-half-all,A-B-C,yes,A-B-C,13,7,6584,NA
ACVEFRSUAPSEQ,English,any advances,darkorange,grey,royalblue,All of the players will advance,none-all-all,all-all-none,A-B,yes,A-B,12,1,5376,NA
