workerid,language,tournamentCondition,player1color,player2color,player3color,sentence,condition,conditionOrder,correctAnswer,advancesCorrectFirstTime,advances,trialnum,response,rt,trainingCorrect
A3JJIP54HLSQL8,English,all advances,darkorange,grey,pink,One player will advance,none-none-half,none-none-half,none,yes,none,22,1,2734,NA
A3JJIP54HLSQL8,English,all advances,brown,lavender,yellow,Player A will be disappointed,half-all-all,all-half-all,A-C,yes,A-C,23,1,6849,NA
A3JJIP54HLSQL8,English,all advances,tan,lavender,seafoam,Player C made shots,none-none-none,none-none-none,none,yes,none,28,1,4379,NA
A3JJIP54HLSQL8,English,all advances,midnight,purple,yellow,Every player hit some of his shots,none-none-none,none-none-none,none,yes,none,1,1,10549,NA
A3JJIP54HLSQL8,English,all advances,royalblue,darkorange,brown,Player A will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,0,7,9971,NA
A3JJIP54HLSQL8,English,all advances,lightblue,pink,purple,Exactly one player hit none of his shots,none-all-all,all-all-none,A-B,yes,A-B,3,6,11018,NA
A3JJIP54HLSQL8,English,all advances,brown,midnight,grey,Every player hit none of his shots,none-all-all,none-all-all,B-C,yes,B-C,2,1,7982,NA
A3JJIP54HLSQL8,English,all advances,lavender,grey,lightblue,Most of the players will advance,none-half-half,half-none-half,none,yes,none,5,1,7016,NA
A3JJIP54HLSQL8,English,all advances,brown,purple,darkorange,Three players will advance,half-half-all,half-half-all,C,yes,C,4,1,11432,NA
A3JJIP54HLSQL8,English,all advances,midnight,purple,royalblue,None of the players will advance,none-none-half,half-none-none,none,yes,none,7,6,6698,NA
A3JJIP54HLSQL8,English,all advances,wheat,lavender,seafoam,Player B made shots,none-half-half,half-none-half,none,yes,none,6,1,6702,NA
A3JJIP54HLSQL8,English,all advances,wheat,yellow,midnight,Player B will be pleased,none-all-all,all-none-all,A-C,yes,A-C,9,1,7851,NA
A3JJIP54HLSQL8,English,all advances,royalblue,wheat,darkorange,Every player hit all of his shots,none-none-all,all-none-none,A,yes,A,8,2,7284,NA
A3JJIP54HLSQL8,English,all advances,darkorange,pink,seafoam,Player C will be pleased,none-half-all,half-all-none,B,yes,B,11,1,6167,NA
A3JJIP54HLSQL8,English,all advances,lavender,purple,wheat,Player B will advance,none-half-half,half-none-half,none,yes,none,10,1,5431,NA
A3JJIP54HLSQL8,English,all advances,wheat,lavender,yellow,All the players will advance,none-all-all,none-all-all,B-C,yes,B-C,13,2,6982,NA
A3JJIP54HLSQL8,English,all advances,brown,yellow,darkorange,Exactly one player hit all of his shots,none-none-all,all-none-none,A,yes,A,12,7,7517,NA
A3JJIP54HLSQL8,English,all advances,darkorange,grey,royalblue,Player A will be pleased,none-none-all,none-all-none,B,yes,B,15,1,4697,NA
A3JJIP54HLSQL8,English,all advances,wheat,pink,lavender,Two players will advance,half-half-all,half-all-half,B,yes,B,14,1,8285,NA
A3JJIP54HLSQL8,English,all advances,purple,lightblue,yellow,All of the players will advance,none-none-half,none-half-none,none,yes,none,17,1,4522,NA
A3JJIP54HLSQL8,English,all advances,grey,purple,lightorange,Player C will be disappointed,half-all-all,all-all-half,A-B,yes,A-B,16,6,7150,NA
A3JJIP54HLSQL8,English,all advances,lightorange,purple,royalblue,No player hit all of his shots,none-half-all,half-none-all,C,yes,C,19,1,7666,NA
A3JJIP54HLSQL8,English,all advances,midnight,pink,wheat,No player hit none of his shots,none-none-none,none-none-none,none,yes,none,18,2,7865,NA
A3JJIP54HLSQL8,English,all advances,wheat,lightorange,grey,Player A was the star player of the round,most-none-all,most-none-all,C,yes,C,-1,1,10895,yes
A3JJIP54HLSQL8,English,all advances,royalblue,pink,lightblue,Player C messed up,all-all-none,all-all-none,A-B,yes,A-B,-3,7,103260,no
A3JJIP54HLSQL8,English,all advances,darkorange,purple,grey,Player B will advance to the next round,all-few-none,all-few-none,A,yes,A,-2,1,12458,yes
ACPPMD6DDE3T2,English,any advances,tan,brown,lightblue,Exactly one player hit all of his shots,half-half-half,half-half-half,A-B-C,yes,A-B-C,24,1,9330,NA
ACPPMD6DDE3T2,English,any advances,tan,lightorange,purple,Exactly one player hit none of his shots,half-all-all,all-half-all,A-B-C,yes,A-B-C,25,1,8550,NA
ACPPMD6DDE3T2,English,any advances,purple,yellow,lavender,None of the players will advance,half-half-all,half-all-half,A-B-C,yes,A-B-C,26,1,7633,NA
ACPPMD6DDE3T2,English,any advances,grey,purple,royalblue,Player B will be pleased,half-half-half,half-half-half,A-B-C,yes,A-B-C,27,7,8884,NA
ACPPMD6DDE3T2,English,any advances,lightorange,darkorange,wheat,Player B made shots,none-half-half,half-none-half,A-C,yes,A-C,20,1,23205,NA
ACPPMD6DDE3T2,English,any advances,lightorange,royalblue,darkorange,All the players will advance,none-half-all,half-all-none,A-B,yes,A-B,21,1,7602,NA
ACPPMD6DDE3T2,English,any advances,lightblue,grey,lavender,Player B will advance,none-half-half,half-half-none,A-B,yes,A-B,22,7,10460,NA
ACPPMD6DDE3T2,English,any advances,lavender,purple,brown,Player C made shots,none-none-all,all-none-none,A,yes,A,23,1,9736,NA
ACPPMD6DDE3T2,English,any advances,lightblue,seafoam,royalblue,Player C will be pleased,none-half-all,none-all-half,B-C,yes,B-C,28,7,11814,NA
ACPPMD6DDE3T2,English,any advances,yellow,grey,royalblue,All of the players will advance,none-all-all,all-none-all,A-C,yes,A-C,1,1,10238,NA
ACPPMD6DDE3T2,English,any advances,lavender,seafoam,pink,Exactly one player hit some of his shots,none-none-none,none-none-none,none,yes,none,0,1,10217,NA
ACPPMD6DDE3T2,English,any advances,grey,seafoam,tan,Player C will be disappointed,none-all-all,all-none-all,A-C,yes,A-C,3,2,10875,NA
ACPPMD6DDE3T2,English,any advances,grey,lavender,royalblue,At least one player will advance,none-all-all,all-all-none,A-B,yes,A-B,2,7,8101,NA
ACPPMD6DDE3T2,English,any advances,lightblue,midnight,seafoam,Every player hit all of his shots,half-half-all,half-half-all,A-B-C,yes,A-B-C,5,1,8724,NA
ACPPMD6DDE3T2,English,any advances,tan,midnight,yellow,One player will advance,all-all-all,all-all-all,A-B-C,yes,A-B-C,4,1,9520,NA
ACPPMD6DDE3T2,English,any advances,yellow,lightorange,brown,No player hit none of his shots,half-half-half,half-half-half,A-B-C,yes,A-B-C,7,2,9119,NA
ACPPMD6DDE3T2,English,any advances,wheat,lightblue,lavender,Most of the players will advance,half-all-all,all-half-all,A-B-C,yes,A-B-C,6,2,11252,NA
ACPPMD6DDE3T2,English,any advances,lavender,lightblue,tan,Two players will advance,half-half-half,half-half-half,A-B-C,yes,A-B-C,9,1,10583,NA
ACPPMD6DDE3T2,English,any advances,midnight,darkorange,tan,No player hit some of his shots,none-half-half,half-none-half,A-C,yes,A-C,8,1,10595,NA
ACPPMD6DDE3T2,English,any advances,midnight,purple,seafoam,Player B will be disappointed,all-all-all,all-all-all,A-B-C,yes,A-B-C,11,1,7570,NA
ACPPMD6DDE3T2,English,any advances,lightorange,midnight,grey,Player A will be disappointed,half-half-all,all-half-half,A-B-C,yes,A-B-C,10,1,13582,NA
